,area_code,pref_code,pref_name
0,AREA150,PREF01,北海道
1,AREA160,PREF02,青森県
2,AREA160,PREF03,岩手県
3,AREA160,PREF04,宮城県
4,AREA160,PREF05,秋田県
5,AREA160,PREF06,山形県
6,AREA160,PREF07,福島県
7,AREA110,PREF08,茨城県
8,AREA110,PREF09,栃木県
9,AREA110,PREF10,群馬県
10,AREA110,PREF11,埼玉県
11,AREA110,PREF12,千葉県
12,AREA110,PREF13,東京都
13,AREA110,PREF14,神奈川県
14,AREA170,PREF15,新潟県
15,AREA170,PREF16,富山県
16,AREA170,PREF17,石川県
17,AREA170,PREF18,福井県
18,AREA130,PREF19,山梨県
19,AREA130,PREF20,長野県
20,AREA130,PREF21,岐阜県
21,AREA130,PREF22,静岡県
22,AREA130,PREF23,愛知県
23,AREA130,PREF24,三重県
24,AREA120,PREF25,滋賀県
25,AREA120,PREF26,京都府
26,AREA120,PREF27,大阪府
27,AREA120,PREF28,兵庫県
28,AREA120,PREF29,奈良県
29,AREA120,PREF30,和歌山県
30,AREA180,PREF31,鳥取県
31,AREA180,PREF32,島根県
32,AREA180,PREF33,岡山県
33,AREA180,PREF34,広島県
34,AREA180,PREF35,山口県
35,AREA190,PREF36,徳島県
36,AREA190,PREF37,香川県
37,AREA190,PREF38,愛媛県
38,AREA190,PREF39,高知県
39,AREA140,PREF40,福岡県
40,AREA140,PREF41,佐賀県
41,AREA140,PREF42,長崎県
42,AREA140,PREF43,熊本県
43,AREA140,PREF44,大分県
44,AREA140,PREF45,宮崎県
45,AREA140,PREF46,鹿児島県
46,AREA200,PREF47,沖縄県
